"nanyangSiteId","siteNameZh","siteNameAlt1","siteNameAlt2","latitude","longitude"
"fi-wf-001",,"museum in the centre of the town",,5.548424,95.320907
"fi-wf-002","天益社","Tianyi she",,,
"fi-wf-003","新墳場","new cemetery",,5.502208,95.29529
"fi-wf-004","忠魂碑","memorial site for Japanese soldiers killed in action",,,
"fi-wf-005","華人義山","Chinese Cemetery","Komplek Kuburan Cina",5.199494,96.717094
"fi-wf-006","與水宮","Xingshui gong","Vihara Murni Sakti, Tepekong Chin Sui Co Su",4.951961,97.770905
"fi-wf-007","華人義山","Chinese Cemetery",,,
"fi-wf-008","華人墓地","Chinese Cemetery","Komplek Kuburan Cina Kuala Simpang",4.290857,98.0807
"fi-wf-009","華人義山","Chinese Cemetery",,4.468944,97.95855
"fi-wf-010","清水祖師廟","Qingshui zushi miao",,,
"fi-wf-011","華人義山","Chinese Cemetery","Chinese Cemetery Lhokseumawe",5.169419,97.12632
"fi-wf-012","廣福宮","Guangfu gong","Vihara Buddha Dharma Sabang",5.889887,95.322908
"fi-wf-013","中華義山","old Chinese Cemetery","Perkuburan Umum China",5.897143,95.32342
"fi-wf-014","廣福堂","Guangfu tang","Kelenteng Seuruway",4.354867,98.17982
"fi-wf-015","華人義山","Chinese Cemetery","Komplek Kuburan Cina Kuala Simpang",4.290941,98.08072
"fi-wf-016","關帝廟","Guandi miao",,,
"fi-wf-017","清音禪寺","Qingyin chansi",,,
"fi-wf-018","壽山宮","Shoushan gong","Siu San Keng Temple",3.733034,98.675269
"fi-wf-019","武帝廟（關帝廟）","Wudi miao, Guandi gong",,,
"fi-wf-020","真君廟","Zhenjun miao","Vihara Go Ya Kong",3.687214,98.665384
"fi-wf-021","天后宮","Tianhou gong (Wihara Ariya Satyani)","Vihara Ariya Satyani ( Dewi Maco)",3.581772,98.684383
"fi-wf-022","真君廟","Zhenjun miao","Pekong Go Ya Kong",3.709077,98.66729
"fi-wf-023","鎮蓮寺","Zhenlian si",,,
"fi-wf-024","觀音亭","Guanyin ting (Vihara Vimala Marga Runmah Ibadah Agama Buddha or Kwang Im Teng)","Wihara Vimala Marga",3.585012,98.69006
"fi-wf-025","寶蓮堂","Baolian tang","Vihara Bodhi Shanti",3.583759,98.690031
"fi-wf-026","太平寺","Taiping si","Vihara Dharma Diepa",3.588865,98.69354
"fi-wf-027","廣福亭","Guangfu ting","Wihara Vimala Marga",3.585148,98.69006
"fi-wf-028","崇聖宮","Chongsheng gong","Vihara Metta Karuna",3.591059,98.690549
"fi-wf-029","福臨宮","Fulin gong",,,
"fi-wf-030","鼎福堂","Dingfu tang",,,
"fi-wf-031","五顯宮","Wuxian gong",,,
"fi-wf-032","列聖宮","Liesheng gong","San Jiao Sheng Temple",3.73289,98.675171
"fi-wf-033","老武漢中華義山","Chinese Cemetery of Labuhan",,3.713677,98.69023
"fi-wf-034","昔福建義山","former Fujian Cemetery",,,
"fi-wf-035","張鴻南家墳地","private cemetery of the family of former Major Zhang Hongnan",,3.629834,98.66724
